enabled,name,postcode_area,listing_url,excluded_keywords,notes
true,Dexters,E9,https://www.dexters.co.uk/property-lettings/flats-to-rent-in-e9,,
true,Dexters,E8,https://www.dexters.co.uk/property-lettings/flats-to-rent-in-e8,,
true,Dexters,N1,https://www.dexters.co.uk/property-lettings/flats-to-rent-in-n1,,
true,Dexters,E2,https://www.dexters.co.uk/property-lettings/flats-to-rent-in-e2,,
true,Foxtons,E9,https://www.foxtons.co.uk/flats-to-rent/e9/2-bedroom,,
true,Foxtons,E8,https://www.foxtons.co.uk/flats-to-rent/e8/2-bedroom,,
true,Foxtons,N1,https://www.foxtons.co.uk/flats-to-rent/n1/2-bedroom,,
true,Foxtons,E2,https://www.foxtons.co.uk/flats-to-rent/e2/2-bedroom,,
false,Example Agent,E9,https://example.com/properties-to-rent/e9,short let;holiday let,Replace with a real rentals search URL
